freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.197e+03,1.260e+02,1.262e+03,2.585e+03
1.5,6.062e+03,6.697e+02,1.423e+03,8.155e+03
3.0,7.103e+03,8.587e+02,1.180e+03,9.142e+03
4.5,6.584e+03,1.024e+03,1.441e+03,9.048e+03
6.0,6.176e+03,8.952e+02,2.755e+03,9.826e+03
7.5,7.155e+03,9.129e+02,3.939e+03,1.201e+04
9.0,6.491e+03,9.648e+02,4.624e+03,1.208e+04
10.5,6.295e+03,7.662e+02,5.520e+03,1.258e+04
12.0,6.571e+03,8.003e+02,7.085e+03,1.446e+04
13.5,7.170e+03,9.608e+02,9.025e+03,1.716e+04
15.0,6.357e+03,8.833e+02,1.069e+04,1.793e+04
16.5,5.967e+03,8.221e+02,1.247e+04,1.926e+04
18.0,5.577e+03,8.498e+02,1.483e+04,2.125e+04
19.5,6.250e+03,8.032e+02,1.753e+04,2.458e+04
21.0,6.913e+03,9.148e+02,2.094e+04,2.876e+04
22.5,6.450e+03,9.741e+02,2.592e+04,3.334e+04
24.0,6.669e+03,9.668e+02,3.163e+04,3.926e+04
25.5,5.899e+03,9.357e+02,3.621e+04,4.305e+04
27.0,5.090e+03,9.950e+02,4.107e+04,4.715e+04
28.5,6.027e+03,9.596e+02,4.294e+04,4.992e+04
30.0,6.849e+03,8.834e+02,4.673e+04,5.446e+04
31.4,6.651e+03,9.171e+02,5.386e+04,6.143e+04
32.9,7.629e+03,8.820e+02,5.968e+04,6.819e+04
34.4,7.152e+03,1.013e+03,6.400e+04,7.217e+04
35.9,8.231e+03,1.008e+03,7.330e+04,8.254e+04
37.4,8.458e+03,9.296e+02,8.616e+04,9.554e+04
38.9,7.896e+03,1.020e+03,1.066e+05,1.155e+05
40.4,7.128e+03,1.102e+03,1.234e+05,1.316e+05
41.9,7.340e+03,1.157e+03,1.336e+05,1.421e+05
43.4,7.355e+03,1.171e+03,1.567e+05,1.652e+05
44.9,6.431e+03,1.276e+03,1.901e+05,1.978e+05
46.4,6.025e+03,1.475e+03,2.327e+05,2.402e+05
47.9,6.656e+03,1.415e+03,2.915e+05,2.995e+05
49.4,7.478e+03,1.758e+03,3.722e+05,3.814e+05
50.9,8.097e+03,1.921e+03,4.041e+05,4.142e+05
52.4,8.872e+03,1.792e+03,2.751e+05,2.858e+05
53.9,9.409e+03,1.951e+03,2.413e+05,2.526e+05
55.4,1.104e+04,3.194e+03,3.361e+05,3.503e+05
56.9,1.621e+04,1.038e+04,5.227e+05,5.493e+05
58.4,3.080e+04,3.641e+04,8.470e+05,9.142e+05
59.9,4.506e+04,6.999e+04,1.319e+06,1.434e+06
61.4,4.705e+04,8.786e+04,1.993e+06,2.128e+06
62.9,4.347e+04,8.604e+04,3.255e+06,3.384e+06
64.4,3.730e+04,7.930e+04,5.395e+06,5.511e+06
65.9,3.183e+04,7.287e+04,7.745e+06,7.850e+06
67.4,2.378e+04,5.878e+04,8.928e+06,9.011e+06
68.9,1.870e+04,4.296e+04,9.036e+06,9.097e+06
70.4,2.031e+04,3.390e+04,7.698e+06,7.752e+06
71.9,3.492e+04,3.344e+04,5.850e+06,5.919e+06
73.4,4.687e+04,3.671e+04,4.431e+06,4.514e+06
74.9,4.695e+04,3.618e+04,3.523e+06,3.607e+06
76.4,3.274e+04,2.575e+04,2.933e+06,2.992e+06
77.9,2.420e+04,1.380e+04,2.408e+06,2.446e+06
79.4,2.393e+04,8.617e+03,1.979e+06,2.012e+06
80.9,2.662e+04,6.482e+03,1.650e+06,1.683e+06
82.4,2.781e+04,4.366e+03,1.332e+06,1.364e+06
83.9,2.371e+04,4.957e+03,1.161e+06,1.189e+06
85.4,1.367e+04,1.223e+04,1.012e+06,1.038e+06
86.9,1.842e+04,3.274e+04,8.854e+05,9.365e+05
88.4,2.749e+04,5.872e+04,7.905e+05,8.767e+05
89.9,1.828e+04,3.740e+04,3.527e+05,4.084e+05
91.3,9.858e+03,6.862e+03,3.973e+04,5.645e+04
92.8,7.460e+03,3.145e+03,2.035e+04,3.095e+04
94.3,6.945e+03,2.156e+03,1.722e+04,2.632e+04
95.8,6.788e+03,1.659e+03,1.511e+04,2.356e+04
97.3,6.530e+03,1.472e+03,1.360e+04,2.161e+04
98.8,6.170e+03,1.659e+03,1.262e+04,2.045e+04
100.3,6.168e+03,2.097e+03,1.206e+04,2.033e+04
101.8,8.022e+03,2.412e+03,1.222e+04,2.266e+04
103.3,6.867e+03,2.447e+03,1.173e+04,2.104e+04
104.8,6.215e+03,2.200e+03,1.009e+04,1.850e+04
106.3,6.583e+03,2.003e+03,8.595e+03,1.718e+04
107.8,6.200e+03,1.939e+03,6.957e+03,1.510e+04
109.3,6.261e+03,1.649e+03,5.233e+03,1.314e+04
110.8,5.969e+03,1.396e+03,3.913e+03,1.128e+04
112.3,5.862e+03,1.302e+03,3.664e+03,1.083e+04
113.8,7.922e+03,1.498e+03,5.297e+03,1.472e+04
115.3,6.911e+03,1.720e+03,9.929e+03,1.856e+04
116.8,5.786e+03,1.803e+03,1.540e+04,2.299e+04
118.3,6.038e+03,1.977e+03,1.832e+04,2.633e+04
119.8,6.590e+03,1.779e+03,1.935e+04,2.772e+04
121.3,6.042e+03,1.732e+03,1.961e+04,2.738e+04
122.8,6.766e+03,1.972e+03,2.080e+04,2.954e+04
124.3,6.914e+03,1.977e+03,2.351e+04,3.240e+04
125.8,7.348e+03,2.111e+03,2.470e+04,3.415e+04
127.3,5.696e+03,2.273e+03,2.294e+04,3.091e+04
128.8,5.682e+03,2.652e+03,2.124e+04,2.957e+04
130.3,4.407e+03,3.024e+03,2.003e+04,2.746e+04
131.8,4.806e+03,3.736e+03,1.861e+04,2.716e+04
133.3,5.846e+03,3.905e+03,1.705e+04,2.680e+04
134.8,6.316e+03,4.166e+03,1.619e+04,2.667e+04
136.3,6.644e+03,4.391e+03,1.496e+04,2.599e+04
137.8,6.689e+03,3.805e+03,1.354e+04,2.404e+04
139.3,5.725e+03,3.328e+03,1.215e+04,2.120e+04
140.8,6.435e+03,3.366e+03,1.087e+04,2.068e+04
142.3,7.001e+03,2.823e+03,1.051e+04,2.033e+04
143.8,6.073e+03,2.259e+03,1.030e+04,1.863e+04
145.3,5.045e+03,1.771e+03,1.048e+04,1.730e+04
146.8,6.148e+03,1.538e+03,1.028e+04,1.797e+04
148.3,7.129e+03,1.107e+03,1.033e+04,1.856e+04
149.8,8.218e+03,1.103e+03,1.022e+04,1.955e+04
151.3,7.958e+03,1.202e+03,9.770e+03,1.893e+04
152.7,7.145e+03,1.429e+03,1.040e+04,1.897e+04
154.2,6.608e+03,1.488e+03,1.105e+04,1.914e+04
155.7,7.420e+03,1.433e+03,1.190e+04,2.075e+04
