freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.876e+03,9.177e+02,1.471e+02,3.941e+03
1.5,1.173e+04,1.115e+03,7.864e+02,1.363e+04
3.0,1.262e+04,1.043e+03,9.488e+02,1.461e+04
4.5,1.118e+04,1.471e+03,8.631e+02,1.352e+04
6.0,1.413e+04,2.577e+03,8.443e+02,1.755e+04
7.5,1.480e+04,3.281e+03,1.113e+03,1.919e+04
9.0,1.385e+04,4.142e+03,1.087e+03,1.908e+04
10.5,1.656e+04,5.531e+03,9.527e+02,2.304e+04
12.0,1.933e+04,7.499e+03,1.081e+03,2.791e+04
13.5,1.463e+04,9.372e+03,8.432e+02,2.484e+04
15.0,1.510e+04,1.174e+04,7.225e+02,2.756e+04
16.5,1.633e+04,1.457e+04,6.794e+02,3.157e+04
18.0,1.338e+04,1.796e+04,6.543e+02,3.200e+04
19.5,1.090e+04,2.120e+04,8.985e+02,3.300e+04
20.9,1.225e+04,2.606e+04,1.088e+03,3.940e+04
22.4,1.149e+04,3.258e+04,9.279e+02,4.500e+04
23.9,1.032e+04,3.979e+04,9.354e+02,5.104e+04
25.4,1.391e+04,4.722e+04,1.124e+03,6.225e+04
26.9,1.306e+04,5.370e+04,1.306e+03,6.807e+04
28.4,1.576e+04,5.764e+04,1.409e+03,7.482e+04
29.9,2.040e+04,6.970e+04,1.234e+03,9.133e+04
31.4,1.916e+04,9.037e+04,1.101e+03,1.106e+05
32.9,1.806e+04,1.139e+05,1.343e+03,1.333e+05
34.4,1.672e+04,1.401e+05,1.133e+03,1.579e+05
35.9,1.438e+04,1.836e+05,1.504e+03,1.995e+05
37.4,1.532e+04,2.445e+05,1.757e+03,2.616e+05
38.9,2.080e+04,3.294e+05,1.593e+03,3.518e+05
40.4,2.086e+04,4.333e+05,1.296e+03,4.555e+05
41.9,1.748e+04,5.944e+05,1.621e+03,6.135e+05
43.4,1.885e+04,9.824e+05,1.783e+03,1.003e+06
44.9,3.648e+04,1.710e+06,1.909e+03,1.749e+06
46.4,6.327e+04,2.728e+06,3.369e+03,2.795e+06
47.9,8.205e+04,3.686e+06,5.569e+03,3.774e+06
49.4,7.722e+04,3.265e+06,5.263e+03,3.348e+06
50.9,7.089e+04,2.134e+06,3.582e+03,2.208e+06
52.4,8.750e+04,1.674e+06,2.639e+03,1.765e+06
53.9,9.604e+04,1.294e+06,3.384e+03,1.394e+06
55.4,1.016e+05,1.077e+06,4.140e+03,1.183e+06
56.9,1.060e+05,9.178e+05,4.682e+03,1.028e+06
58.4,1.359e+05,7.752e+05,5.500e+03,9.167e+05
59.9,1.829e+05,6.370e+05,5.712e+03,8.256e+05
61.4,2.069e+05,4.548e+05,5.148e+03,6.668e+05
62.8,1.914e+05,2.637e+05,3.598e+03,4.586e+05
64.3,2.090e+05,1.563e+05,2.310e+03,3.676e+05
65.8,1.965e+05,1.141e+05,1.913e+03,3.125e+05
67.3,1.356e+05,1.056e+05,2.857e+03,2.441e+05
68.8,8.543e+04,1.083e+05,3.646e+03,1.974e+05
70.3,5.606e+04,1.159e+05,4.281e+03,1.762e+05
71.8,4.217e+04,1.315e+05,4.267e+03,1.779e+05
73.3,3.435e+04,1.525e+05,6.109e+03,1.930e+05
74.8,2.115e+04,1.783e+05,1.016e+04,2.096e+05
76.3,1.801e+04,2.186e+05,1.567e+04,2.523e+05
77.8,2.097e+04,2.582e+05,1.941e+04,2.986e+05
79.3,2.782e+04,2.818e+05,2.056e+04,3.302e+05
80.8,4.510e+04,2.839e+05,2.530e+04,3.543e+05
82.3,5.588e+04,2.597e+05,3.409e+04,3.497e+05
83.8,6.319e+04,2.224e+05,4.134e+04,3.269e+05
85.3,7.486e+04,1.844e+05,4.444e+04,3.037e+05
86.8,8.194e+04,1.501e+05,4.399e+04,2.761e+05
88.3,6.859e+04,1.268e+05,3.848e+04,2.339e+05
89.8,3.675e+04,6.606e+04,1.925e+04,1.221e+05
91.3,1.381e+04,1.318e+04,4.800e+03,3.179e+04
92.8,1.469e+04,9.529e+03,3.281e+03,2.750e+04
94.3,1.281e+04,8.833e+03,3.267e+03,2.491e+04
95.8,1.289e+04,8.514e+03,3.130e+03,2.453e+04
97.3,1.258e+04,8.333e+03,2.428e+03,2.335e+04
98.8,1.424e+04,7.563e+03,2.163e+03,2.397e+04
100.3,1.243e+04,8.078e+03,2.240e+03,2.275e+04
101.8,1.119e+04,8.786e+03,2.406e+03,2.238e+04
103.3,1.242e+04,9.260e+03,1.871e+03,2.355e+04
104.7,1.424e+04,1.006e+04,1.703e+03,2.600e+04
106.2,9.624e+03,9.953e+03,1.967e+03,2.154e+04
107.7,1.157e+04,1.016e+04,1.747e+03,2.348e+04
109.2,1.399e+04,1.014e+04,1.579e+03,2.571e+04
110.7,1.414e+04,1.045e+04,1.491e+03,2.608e+04
112.2,1.433e+04,9.269e+03,1.880e+03,2.548e+04
113.7,1.023e+04,5.826e+03,1.766e+03,1.782e+04
115.2,8.197e+03,3.747e+03,1.463e+03,1.341e+04
116.7,8.679e+03,3.283e+03,2.014e+03,1.398e+04
118.2,9.727e+03,3.548e+03,2.187e+03,1.546e+04
119.7,7.336e+03,3.551e+03,1.971e+03,1.286e+04
121.2,7.048e+03,3.784e+03,2.008e+03,1.284e+04
122.7,8.590e+03,3.953e+03,2.757e+03,1.530e+04
124.2,8.709e+03,3.849e+03,3.210e+03,1.577e+04
125.7,1.068e+04,3.623e+03,2.904e+03,1.721e+04
127.2,1.178e+04,3.615e+03,2.790e+03,1.819e+04
128.7,1.254e+04,3.699e+03,2.602e+03,1.884e+04
130.2,1.220e+04,3.748e+03,2.381e+03,1.833e+04
131.7,1.129e+04,3.644e+03,2.422e+03,1.735e+04
133.2,1.300e+04,3.560e+03,2.857e+03,1.942e+04
134.7,1.479e+04,4.357e+03,2.691e+03,2.184e+04
136.2,1.597e+04,4.296e+03,2.439e+03,2.270e+04
137.7,1.301e+04,3.124e+03,2.247e+03,1.838e+04
139.2,8.053e+03,3.181e+03,2.047e+03,1.328e+04
140.7,6.809e+03,2.893e+03,1.592e+03,1.129e+04
142.2,1.057e+04,3.432e+03,1.819e+03,1.582e+04
143.7,1.263e+04,4.052e+03,2.044e+03,1.872e+04
145.2,1.062e+04,3.868e+03,2.106e+03,1.659e+04
146.6,9.627e+03,4.456e+03,1.796e+03,1.588e+04
148.1,1.037e+04,5.114e+03,2.198e+03,1.769e+04
149.6,1.019e+04,4.620e+03,2.366e+03,1.718e+04
151.1,9.856e+03,3.873e+03,2.604e+03,1.633e+04
152.6,9.288e+03,3.208e+03,2.118e+03,1.462e+04
154.1,8.475e+03,3.283e+03,2.009e+03,1.377e+04
155.6,9.610e+03,3.741e+03,1.933e+03,1.528e+04
157.1,9.457e+03,3.503e+03,1.645e+03,1.461e+04
158.6,1.239e+04,3.789e+03,1.836e+03,1.802e+04
160.1,1.224e+04,4.620e+03,2.038e+03,1.890e+04
161.6,1.228e+04,4.660e+03,1.967e+03,1.891e+04
163.1,1.158e+04,3.934e+03,2.037e+03,1.755e+04
164.6,7.202e+03,2.873e+03,2.218e+03,1.229e+04
166.1,7.917e+03,2.732e+03,1.737e+03,1.239e+04
167.6,9.667e+03,2.476e+03,1.802e+03,1.394e+04
169.1,1.078e+04,3.040e+03,2.299e+03,1.612e+04
170.6,1.336e+04,3.698e+03,2.377e+03,1.943e+04
172.1,9.658e+03,2.261e+03,2.083e+03,1.400e+04
173.6,9.646e+03,1.856e+03,1.927e+03,1.343e+04
175.1,1.179e+04,2.270e+03,1.856e+03,1.591e+04
176.6,1.234e+04,1.999e+03,1.796e+03,1.614e+04
178.1,1.158e+04,1.848e+03,1.971e+03,1.540e+04
179.6,7.208e+03,1.661e+03,1.684e+03,1.055e+04
181.1,7.730e+03,1.729e+03,2.262e+03,1.172e+04
182.6,9.561e+03,1.869e+03,2.827e+03,1.426e+04
184.1,1.121e+04,2.078e+03,2.268e+03,1.556e+04
185.6,1.193e+04,2.399e+03,1.891e+03,1.622e+04
187.0,1.124e+04,2.576e+03,2.247e+03,1.607e+04
188.5,9.263e+03,2.933e+03,2.233e+03,1.443e+04
190.0,9.933e+03,3.309e+03,2.443e+03,1.568e+04
191.5,1.007e+04,3.177e+03,2.394e+03,1.564e+04
193.0,9.909e+03,3.137e+03,2.273e+03,1.532e+04
194.5,8.002e+03,2.144e+03,2.590e+03,1.274e+04
196.0,1.243e+04,1.675e+03,2.718e+03,1.683e+04
197.5,1.069e+04,1.303e+03,2.761e+03,1.475e+04
199.0,9.811e+03,1.320e+03,3.287e+03,1.442e+04
